Country,Longitude,Latitude,Basin,Seep_Type,Seep_Name,CH4_Concentration,C2_Concentration,C3_Concentration,Delta13C1,DeltaD1,Bernard_Ratio
Zambia,30.4693,33.8383,Southern Georgia Embayment Basin,Oil,Gas Seep 2,6.9,0.2,93.5,-29.1,-204,1.5
Kuwait,111.0199,21.4265,Song Hong Basin,Gas,Gas Seep 1,6.1,0.2,93.5,-29.5,-202,1.4
Vietnam,-72.6717,-22.5716,Abu Dhabi Basin,Oil,Oil Seep 1,6.5,0.2,93.5,-29.3,-199,1.3
Iraq,50.2043,56.2245,Norwegian Sea Basin,Oil,Oil Seep 1,7.0,0.3,93.5,-29.5,-201,1.4
Canada,-90.8495,30.3595,Dong Nai Basin,Oil,Oil Seep 1,6.8,0.3,92.7,-29.5,-199,1.5
Zimbabwe,48.5756,40.6509,North Sea Basin,Gas,Oil Seep 2,7.1,0.2,92.7,-30.1,-205,1.5
Vietnam,8.4286,16.7387,Illinois Basin,Oil,Gas Seep 2,6.1,0.2,92.8,-29.5,-205,1.6
Russia,-120.8982,40.5089,Malay Basin,Gas,Gas Seep 1,5.7,0.2,93.9,-29.4,-202,1.4
Kuwait,-93.3087,47.3928,Saudi Basin,Gas,Oil Seep 3,6.7,0.2,93.6,-29.2,-200,1.5
Zambia,12.318,41.2928,Philadelphia Basin,Gas,Oil Seep 3,5.6,0.4,93.2,-29.2,-204,1.2
Iraq,68.2118,-26.6374,Denver Basin,Oil,Oil Seep 1,6.8,0.3,93.8,-30.1,-205,1.5
_RARE_,54.2368,38.3011,East Coast Basin,Gas,Oil Seep 1,5.7,0.3,93.1,-29.8,-199,1.4
Yemen,-4.9493,38.7475,Amu Darya Basin,Gas,Oil Seep 1,7.0,0.3,92.7,-30.0,-204,1.6
Zimbabwe,9.7921,4.1531,Philadelphia Basin,Gas,Gas Seep 1,6.5,0.5,93.1,-29.1,-204,1.5
Russia,86.8263,23.6778,Salalah Basin,Oil,Oil Seep 1,7.0,0.1,93.9,-29.2,-201,1.6
Saudi Arabia,69.242,10.8454,Chilean Basin,Gas,Oil Seep 1,5.8,0.3,93.3,-29.6,-205,1.6
United States,-89.092,20.8798,Basin and Range Basin,Gas,Oil Seep 1,5.7,0.1,93.5,-29.4,-201,1.4
Venezuela,108.5198,33.5817,Mahakam Delta Basin,Gas,Oil Seep 2,5.8,0.1,93.6,-29.3,-202,1.2
Yemen,51.0692,39.8875,Lodi Basin,Gas,Gas Seep 1,6.1,0.1,93.1,-30.1,-204,1.5
Venezuela,24.6138,14.2184,Arabian Basin,Oil,Oil Seep 3,6.3,0.1,93.2,-29.4,-201,1.4
United States,48.5182,22.2604,North West Shelf Basin,Gas,Gas Seep 1,6.7,0.2,93.5,-29.8,-202,1.4
Canada,-122.0367,24.9781,San Joaquin Basin,Oil,Oil Seep 3,6.1,0.2,93.1,-29.8,-199,1.4
Saudi Arabia,24.2697,47.4632,Philadelphia Basin,Oil,Gas Seep 2,5.7,0.5,93.8,-30.0,-199,1.2
Vietnam,-73.2362,34.9573,Bas Cuu Long Basin,Oil,Oil Seep 2,7.1,0.3,93.2,-29.9,-199,1.5
Venezuela,-59.3348,35.2744,Mahakam Delta Basin,Oil,Gas Seep 2,7.1,0.2,93.7,-29.5,-203,1.4
Vietnam,108.602,38.7762,Arabian Basin,Oil,Oil Seep 3,6.5,0.2,93.5,-30.2,-204,1.5
Thailand,101.4372,30.5182,Black Sea Basin,Oil,Oil Seep 2,6.3,0.2,93.0,-29.5,-203,1.4
United Arab Emirates,10.4241,4.4857,Bas Cuu Long Basin,Gas,Oil Seep 1,5.7,0.3,93.2,-29.7,-199,1.3
Vietnam,33.6365,32.0049,Nile Delta Basin,Gas,Gas Seep 2,5.8,0.2,92.6,-29.4,-204,1.5
Mexico,-85.418,20.6477,Caribbean Basin,Gas,Oil Seep 1,5.6,0.2,93.7,-29.8,-198,1.4
Norway,36.2709,34.1433,Colorado Basin,Oil,Gas Seep 2,5.7,0.2,93.6,-29.6,-201,1.5
Venezuela,98.2848,11.0238,Fox Basin,Oil,Oil Seep 1,5.8,0.1,93.5,-30.0,-204,1.5
Canada,-96.2013,46.9112,Maracaibo Basin,Oil,Oil Seep 1,5.7,0.3,93.9,-29.4,-199,1.5
_RARE_,105.8267,38.7196,Lodi Basin,Gas,Gas Seep 2,6.1,0.2,92.7,-29.5,-201,1.4
_RARE_,53.7831,-1.7391,Luangwa Basin,Oil,Gas Seep 2,6.3,0.4,93.8,-29.4,-199,1.3
United States,166.9592,-17.8149,East Coast Basin,Oil,Oil Seep 2,7.1,0.2,93.5,-29.7,-199,1.5
_RARE_,-122.3318,24.0843,Beaufort Sea Basin,Oil,Gas Seep 2,6.8,0.4,92.7,-29.4,-202,1.2
United States,-105.1225,26.468,Chilean Basin,Gas,Oil Seep 1,7.0,0.3,93.8,-29.5,-199,1.4
Vietnam,48.3791,42.3532,Great South Basin,Oil,Gas Seep 2,7.0,0.1,92.7,-30.1,-205,1.5
Zimbabwe,-83.8293,13.123,Philadelphia Basin,Gas,Gas Seep 1,6.1,0.2,93.6,-30.0,-202,1.3
Thailand,53.8415,28.0628,Eastern Venezuela Basin,Gas,Oil Seep 1,7.2,0.2,94.0,-30.0,-198,1.4
Vietnam,-10.3371,12.5708,Aegean Basin,Gas,Gas Seep 1,5.6,0.5,93.5,-29.5,-198,1.4
Iraq,166.9592,-41.0848,Southern California Borderland Basin,Oil,Oil Seep 1,6.5,0.3,92.7,-30.1,-205,1.5
Zambia,-118.2436,37.0305,Malay Basin,Oil,Oil Seep 3,6.8,0.4,93.8,-29.2,-199,1.2
_RARE_,109.1944,55.8464,Sudan Basin,Gas,Oil Seep 1,6.3,0.2,93.1,-29.7,-204,1.5
Zambia,-66.6558,-10.8189,Great Basin Basin,Oil,Oil Seep 1,5.8,0.3,93.8,-29.2,-202,1.4
Indonesia,-3.593,68.3222,Abu Dhabi Basin,Oil,Oil Seep 1,6.9,0.3,93.0,-29.8,-198,1.2
Venezuela,66.6448,-14.0947,White Tiger Basin,Gas,Gas Seep 1,6.3,0.4,93.5,-29.4,-204,1.2
Saudi Arabia,-75.1724,-4.6671,Indus Basin,Gas,Oil Seep 2,7.0,0.3,92.7,-30.0,-205,1.4
Zimbabwe,50.3524,40.7143,Luapula Basin,Oil,Oil Seep 1,7.2,0.2,93.8,-29.2,-199,1.5
Yemen,20.189,12.8478,Eastern Venezuela Basin,Gas,Oil Seep 2,6.7,0.5,92.7,-29.2,-198,1.2
_RARE_,65.7109,37.2085,Green River Basin,Oil,Oil Seep 1,7.2,0.2,92.7,-29.7,-202,1.6
Zambia,-56.2031,31.6154,Nam Con Son Basin,Gas,Oil Seep 3,5.7,0.2,93.8,-29.6,-205,1.5
United States,-74.7597,4.2125,Taiwan Basin,Oil,Oil Seep 3,7.2,0.2,93.7,-29.4,-203,1.2
Zimbabwe,31.1083,44.9822,Sirte Basin,Oil,Gas Seep 1,6.8,0.2,93.1,-30.0,-204,1.6
Turkey,11.8675,30.2704,Lake Maracaibo Basin,Gas,Gas Seep 1,7.0,0.2,93.0,-29.7,-202,1.4
India,-117.5711,-15.423,Sudan Basin,Gas,Oil Seep 1,6.5,0.2,93.5,-29.9,-201,1.4
Kuwait,-8.9052,46.3499,Luangwa Basin,Oil,Gas Seep 2,5.6,0.3,93.8,-29.5,-199,1.6
Norway,-87.4923,41.3261,Falkland Plateau Basin,Gas,Oil Seep 1,6.5,0.3,93.6,-29.4,-205,1.3
Uzbekistan,14.4202,23.651,Shabwa-Masila Basin,Oil,Gas Seep 1,6.5,0.2,93.8,-29.5,-198,1.4
Yemen,49.8458,39.6888,Indus Basin,Oil,Oil Seep 3,6.2,0.2,93.1,-29.5,-202,1.4
Iraq,-96.9214,34.0521,Gulf of Thailand Basin,Gas,Gas Seep 2,6.8,0.4,93.5,-29.5,-201,1.3
India,28.3866,45.652,San Joaquin Basin,Oil,Oil Seep 3,7.2,0.2,93.5,-29.4,-199,1.4
United Arab Emirates,29.1652,54.826,South Uruguay Basin,Oil,Oil Seep 2,6.3,0.4,93.8,-29.3,-204,1.3
Yemen,-122.1348,37.0919,Black Sea Basin,Gas,Oil Seep 3,7.2,0.1,93.1,-30.0,-201,1.6
Zambia,-121.7813,-10.8032,Colorado Basin,Gas,Oil Seep 1,5.7,0.3,93.0,-29.4,-200,1.4
_RARE_,31.1139,60.3966,Bukhara-Khiva Basin,Gas,Oil Seep 2,6.5,0.1,93.1,-29.4,-200,1.3
Thailand,-74.0942,-1.6064,Limpopo Basin,Oil,Oil Seep 2,6.9,0.3,93.2,-30.0,-204,1.5
_RARE_,31.0581,14.6041,Limpopo Basin,Gas,Oil Seep 2,5.8,0.5,93.9,-29.7,-202,1.3
Uzbekistan,64.8318,46.6083,White Tiger Basin,Gas,Oil Seep 3,6.3,0.4,92.6,-29.5,-205,1.1
United States,-88.7608,43.9908,New York Basin,Gas,Oil Seep 1,6.3,0.3,93.8,-30.0,-199,1.3
Saudi Arabia,-121.844,33.2897,Dutch North Sea Basin,Oil,Oil Seep 3,7.0,0.4,93.2,-29.3,-203,1.4
Venezuela,-56.9556,60.8507,Indus Basin,Gas,Oil Seep 1,7.0,0.3,93.2,-29.4,-202,1.4
Zimbabwe,-87.2205,40.7138,Mumbai Offshore Basin,Gas,Oil Seep 1,6.9,0.4,92.7,-29.7,-199,1.5
United States,87.139,15.8251,Sudan Basin,Oil,Oil Seep 1,6.9,0.3,93.9,-29.6,-205,1.6
Norway,-91.6419,-33.0417,Sudan Basin,Oil,Gas Seep 1,6.1,0.2,93.2,-29.5,-204,1.4
Norway,29.6891,-26.9093,Gulf of Valencia Basin,Gas,Oil Seep 3,6.3,0.2,93.7,-29.5,-202,1.4
_RARE_,-100.8119,34.9091,Falkland Plateau Basin,Oil,Oil Seep 3,7.2,0.1,92.8,-30.0,-202,1.4
_RARE_,-93.3129,42.4642,Austin Chalk Basin,Oil,Oil Seep 2,7.0,0.3,92.7,-30.1,-199,1.3
Thailand,9.9995,12.8438,Chilean Basin,Oil,Gas Seep 2,6.7,0.3,93.5,-29.4,-202,1.4
India,-86.2016,40.7128,Chilean Basin,Oil,Oil Seep 3,6.1,0.4,93.8,-29.9,-199,1.6
Russia,17.0316,13.1138,West Siberian Basin,Gas,Gas Seep 2,7.2,0.4,92.6,-29.4,-201,1.3
Zimbabwe,-82.2838,19.5437,Fox Basin,Gas,Gas Seep 1,6.8,0.2,93.1,-29.8,-200,1.5
Mexico,30.4404,15.7398,Yangtze Basin,Oil,Oil Seep 3,6.9,0.2,93.1,-29.5,-202,1.4
Indonesia,-102.9589,30.3912,Fergana Basin,Oil,Gas Seep 2,5.7,0.1,92.7,-30.1,-202,1.5
Vietnam,43.726,56.103,Sudan Basin,Gas,Oil Seep 1,7.0,0.3,92.7,-30.0,-204,1.5
Uzbekistan,-72.7855,13.2956,Nile Delta Basin,Oil,Gas Seep 2,6.3,0.1,92.9,-29.5,-202,1.4
Thailand,61.9133,26.5088,East Coast Basin,Gas,Gas Seep 2,7.1,0.3,92.7,-29.4,-203,1.4
Venezuela,-103.6098,0.6176,North West Shelf Basin,Gas,Oil Seep 1,6.5,0.3,92.8,-30.1,-203,1.4
Kuwait,-95.6524,26.3516,Southern San Francisco Bay Basin,Oil,Oil Seep 1,6.7,0.3,92.7,-29.8,-204,1.5
Kuwait,-98.3487,57.8639,South Uruguay Basin,Gas,Oil Seep 1,6.8,0.4,93.2,-30.1,-201,1.4
Mexico,-103.529,27.1786,Western Canada Sedimentary Basin,Oil,Gas Seep 1,7.2,0.4,93.7,-29.7,-204,1.1
United Arab Emirates,-68.7491,54.1548,Red River Basin,Oil,Oil Seep 2,7.2,0.4,92.7,-29.4,-201,1.3
Zimbabwe,48.8341,46.2043,Lake Maracaibo Basin,Oil,Gas Seep 2,7.2,0.4,93.5,-29.4,-201,1.4
Zambia,-71.797,23.6902,Green River Basin,Gas,Gas Seep 2,6.3,0.1,93.7,-30.2,-201,1.5
Venezuela,166.9592,-27.28,Western Canada Sedimentary Basin,Oil,Oil Seep 3,7.1,0.1,93.9,-29.2,-199,1.5
Russia,-70.5654,62.4806,Indus Basin,Oil,Gas Seep 2,7.1,0.3,93.6,-29.5,-201,1.3
Thailand,-111.8855,37.1764,Maranon Basin,Gas,Gas Seep 1,6.3,0.5,93.2,-29.2,-199,1.4
United Arab Emirates,-89.4018,39.7416,Salalah Basin,Oil,Gas Seep 1,6.1,0.3,93.3,-30.1,-201,1.4
_RARE_,45.9257,49.7482,Fergana Basin,Oil,Oil Seep 1,7.1,0.3,93.9,-29.1,-202,1.5
